DATAFLOW,REF_AREA,COMMODITY,TRANSACTION,UNIT,TIME_PERIOD,OBS_VALUE,ESTIMATE,FOOTNOTES,UNIT_MULT,Commodity name,Transaction name,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1990,9312.69924,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1991,9386.8056,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1992,9757.3374,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1993,9880.848,Y,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1994,9386.8056,Y,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1995,3754.72224,Y,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1996,3161.87136,Y,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1997,1951.46748,Y,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1998,4792.21128,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,1999,4668.70068,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2000,4199.3604,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2001,2791.33956,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2002,2074.97808,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2003,1877.36112,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2004,2519.61624,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2005,3680.61588,N,,0, Primary coal and peat, Primary production,
