OBJECTID,FeatureUID,Label1,Country,FeatureNam,FeatureTyp,DsgAttr01,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr08,DsgAttr09,LocOpStat,MemoOther,DsgAttr10,MemoLoc,Latitude,Longitude,LocConfid,LocSource1,InfSource1,OperateNam,OwnerName1,OwnerName2,OwnerName3,OwnerName4,ADM1,DsgAttr07,Comment
1,DZA001,DZA1,Algeria,Achab-Draa oilfield,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,42-gallon barrels per day,c,Assumed Active,"Capacity is a combination of about 50 oilfields, including Acheb; West, Amassak/Tin-Yaguene, Draa; Tamra, Edjeleh, El Borma, El Gassi; Gassi-Touil East, Guellala; Hassi Messaoud North and South; Ohanet North, Rhourde El Baguel; Tin-Fouye Tabankort, and Z","DZA022, DZA023, DZA024, DZA035, DZA045, DZA046, DZA078, DZA106, DZA113, DZA114, DZA117",<null>,28.035297,9.533611,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,<null>,<null>,<null>,<null>,Illizi,1700000,
2,DZA002,DZA2,Algeria,Aggregate quarries at Adrar,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA004, DZA005, DZA006, DZA007, DZA008, DZA009, DZA010, DZA011",Adrar,27.830715,-0.347712,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Adrar,3000000,
3,DZA003,DZA3,Algeria,Aggregate quarries at Arzew,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA005, DZA006, DZA007, DZA008, DZA009, DZA010, DZA011",Arzew,35.856565,-0.379742,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Oran,3000000,
4,DZA004,DZA4,Algeria,Aggregate quarries at Ghedir,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA006, DZA007, DZA008, DZA009, DZA010, DZA011",Ghedir,36.673731,6.960445,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Skikda,3000000,
5,DZA005,DZA5,Algeria,Aggregate quarries at Gustar,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA005, DZA007, DZA008, DZA009, DZA010, DZA011",Gustar,36.007941,5.551643,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Sétif,3000000,
6,DZA006,DZA6,Algeria,Aggregate quarries at Keddara,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA005, DZA006, DZA008, DZA009, DZA010, DZA011",Keddara,36.626158,3.509204,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Boumerdès,3000000,
7,DZA007,DZA7,Algeria,Aggregate quarries at Oued Fodda,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA005, DZA006, DZA007, DZA009, DZA010, DZA011",Oued Fodda,36.178432,1.570784,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Aïn Defla,3000000,
8,DZA008,DZA8,Algeria,Aggregate quarries at Oufarnou,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA005, DZA006, DZA007, DZA008, DZA010, DZA011",Oufarnou,36.785358,5.033796,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Béjaïa,3000000,
9,DZA009,DZA9,Algeria,Aggregate quarries at Tadjertila,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA005, DZA006, DZA007, DZA008, DZA009, DZA011",Tadjertila,34.679057,-1.519386,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Tlemcen,3000000,
10,DZA010,DZA10,Algeria,Aggregate quarries at Timezrit,Mines and Quarries,Industrial,Stone,Unspecified,N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of aggregate quarries at Adrad, Oufarnou, Arzew, Ghedir, Gustar, Keddara, Oued Fodda, Tadjertila, and Timezrit.","DZA003, DZA004, DZA005, DZA006, DZA007, DZA008, DZA009, DZA010",Timezrit,36.614657,4.758404,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Algérienne des Granulats S.p.A. (ALGRAN),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Béjaïa,3000000,
