OBJECTID,FeatureUID,Label1,Country,FeatureNam,FeatureTyp,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr08,LocOpStat,MemoOther,MemoLoc,Latitude,Longitude,LocConfid,LocSource1,InfSource1,OperateNam,OwnerName1,OwnerName2,ADM1,DsgAttr07,Type
2201,ZMB001,ZMB1,Zambia,Baluba Center Underground Mine,Mines and Quarries,Copper,Concentrate,Y,Y,2017,Metric tons,C&M,Ore. Operations suspended. Facility on care-and-maintenance status.,<null>,-13.04861,28.33806,A,"USGS Global GeoDB, revised","USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",CNMC Luanshya Copper Mines Plc,NFC Africa Mining Plc [80%],Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [20%],Copperbelt,1500000,Facilities
2202,ZMB002,ZMB2,Zambia,Bwana Mkubwa Solvent Extraction-Electrowinning Plant,Mineral Processing Plants,Copper,Metal,Y,Y,2017,Metric tons,Assumed Active,Copper cathode.,<null>,-13.0423,28.709353,A,USGS Global GeoDB,"USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",First Quantum Mining and Operations Ltd.,First Quantum Minerals Ltd. [100%],<null>,Copperbelt,52000,Facilities
2205,ZMB003,ZMB3,Zambia,Chambishi Facility,Mineral Processing Plants,Copper,Metal,Y,Y,2017,Metric tons,Assumed Active,Copper cathode.,<null>,-12.649976,28.041173,E,SNL,"USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sino-Metals Leach Zambia Ltd.,China Nonferrous Metals Mining (Group) Co. Ltd. [0%],Sino-Africa Mining Investments Ltd.<null>,Copperbelt,8000,Facilities
2206,ZMB003,<null>,Zambia,Chambishi Cobalt Plant,Mineral Processing Plants,Copper,Metal,Y,Y,2017,Metric tons,Assumed Active,Copper cathode. Nkana Slag dumps.,75 Kilometers northwest of Ndola,-12.649976,28.041173,E,USGS Global GeoDB,"USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Chambishi Metals Plc,"Eurasian Resources Group, S.a.r.l. (ERG) [90%]",Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [10%],Copperbelt,27000,Facilities
2207,ZMB003,<null>,Zambia,Chambishi Copper Smelter,Mineral Processing Plants,Copper,Metal,Y,Y,2017,Metric tons,Assumed Active,Copper anode (blister copper).,<null>,-12.649976,28.041173,E,USGS Global GeoDB,"USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Chambishi Copper Smelter Co. Ltd.,China Nonferrous Metal Mining (Group) Co. Ltd. [60%],Yunnan Copper Industry (Group) Co. Ltd. [40%],Copperbelt,250000,Facilities
2209,ZMB004,ZMB4,Zambia,Chambishi Main Mine,Mines and Quarries,Copper,Ore and concentrate,Y,Y,2017,Metric tons,Assumed Active,"Ore, which yields about 50,000 copper in concentrate.",75 kilometers northwest of Ndola,-12.658916,28.047927,E,"USGS Global GeoDB, revised","USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",NFC Africa Mining Plc,China Nonferrous Metal Mining (Group) Co. Ltd. [85%],Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [15%],Copperbelt,2145000,Facilities
2210,ZMB005,ZMB5,Zambia,Chambishi West Mine,Mines and Quarries,Copper,Ore and concentrate,Y,Y,2017,Metric tons,Assumed Active,<null>,76 kilometers northwest of Ndola,-12.658,28.103,A,"USGS Global GeoDB, revised","USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",NFC Africa Mining Plc,China Nonferrous Metal Mining (Group) Co. Ltd. [85%],Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [15%],Copperbelt,990000,Facilities
2211,ZMB006,ZMB6,Zambia,Chibuluma South Mine,Mines and Quarries,Copper,Ore and concentrate,Y,Y,2017,Metric tons,Assumed Active,"Jinchuan Group International Resources Co. Ltd. owns an 100% share split between Metorex Ltd. and Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH). Ore, which yields about 19,000 copper in concentrate.",About 12 kilometers west of Kitwe,-12.913955,28.079191,A,"USGS Global GeoDB, revised","USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Chambishi Metals Plc,Metorex Ltd. [85%],Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [15%],Copperbelt,600000,Facilities
2214,ZMB008,ZMB8,Zambia,Chingola Open Pit A Mine,Mines and Quarries,Copper,Ore and concentrate,Y,Y,2017,Metric tons,Assumed Active,Ore. Capacity is a combination of Chingola open pit A and Nchanga open pit.,Chingola,-12.509245,27.909252,A,"USGS Global GeoDB, revised","USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Konkola Copper Mines Plc (KCM),Vedanta Resources Plc [79.4%],Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [20.6%],Copperbelt,4500000,Facilities
2223,ZMB016,ZMB16,Zambia,Fitwaola Open Pit Mine,Mines and Quarries,Copper,Ore and concentrate,Y,Y,2017,NA,Assumed Active,<null>,Chingola,-12.407089,27.880269,E,USGS Global GeoDB,"USGS 2017 Minerals Yearbook, Vol. III, Zambia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Konkola Copper Mines Plc (KCM),Vedanta Resources Plc [79.4%],Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH) [20.6%],Copperbelt,-999,Facilities
