Country,FeatureNam,DsgAttr03,DsgAttr06,MemoOther,MemoLoc,Latitude,Longitude,DsgAttr07,Output type (ass.),Production (ass.) 2017 [t],Cu content [kt],Mine type,Metal processing,Smelter type,Spec energy Elec [GJ/t],Spec energy Diesel [GJ/t],Energy Elec [TJ],Energy Diesel [TJ],id
Zambia,Baluba Center Underground Mine,Concentrate,2017,Ore. Operations suspended. Facility on care-and-maintenance status.,<null>,-13.04861,28.33806,1500000.0,Ore and concentrate,1500000.0,9.3,Underground,,,0.07285,0.01333,109.275,19.995,1
Zambia,Bwana Mkubwa Solvent Extraction-Electrowinning Plant,Metal,2017,Copper cathode.,<null>,-13.0423,28.709353000000004,52000.0,Metal,26000.0,26.0,,Smelter+Refinery,"Solvent Extraction-Electrowinning, Electrowinning, Solvent Extraction",12.466000000000001,1.518,324.116,39.468,2
Zambia,Chambishi Facility,Metal,2017,Copper cathode.,<null>,-12.649975999999999,28.041172999999997,8000.0,Metal,4000.0,4.0,,Smelter+Refinery,,12.466000000000001,1.518,49.864000000000004,6.072,3
Zambia,Chambishi Cobalt Plant,Metal,2017,Copper cathode. Nkana Slag dumps.,75 Kilometers northwest of Ndola,-12.649975999999999,28.041172999999997,27000.0,Metal,13500.0,13.5,,Smelter+Refinery,,12.466000000000001,1.518,168.29100000000003,20.493,4
Zambia,Chambishi Copper Smelter,Metal,2017,Copper anode (blister copper).,<null>,-12.649975999999999,28.041172999999997,250000.0,Metal,125000.0,125.0,,Smelter,,9.266,1.518,1158.25,189.75,5
Zambia,Chambishi Main Mine,Ore and concentrate,2017,"Ore, which yields about 50,000 copper in concentrate.",75 kilometers northwest of Ndola,-12.658916,28.047927,2145000.0,Ore and concentrate,2145000.0,13.299,,,,0.07285,0.01333,156.26325,28.59285,6
Zambia,Chambishi West Mine,Ore and concentrate,2017,<null>,76 kilometers northwest of Ndola,-12.658,28.103,990000.0,Ore and concentrate,990000.0,6.138,,,,0.07285,0.01333,72.1215,13.1967,7
Zambia,Chibuluma South Mine,Ore and concentrate,2017,"Jinchuan Group International Resources Co. Ltd. owns an 100% share split between Metorex Ltd. and Zambia Consolidated Copper Mines Investments Holdings Plc (ZCCMâ€“IH). Ore, which yields about 19,000 copper in concentrate.",About 12 kilometers west of Kitwe,-12.913955,28.079190999999998,600000.0,Ore and concentrate,600000.0,3.72,,,,0.07285,0.01333,43.71,7.998,8
Zambia,Chingola Open Pit A Mine,Ore and concentrate,2017,Ore. Capacity is a combination of Chingola open pit A and Nchanga open pit.,Chingola,-12.509245,27.909252000000002,4500000.0,Ore and concentrate,2250000.0,13.95,Open Pit,,,0.05952,0.06323999999999999,133.92,142.28999999999996,9
Zambia,Fitwaola Open Pit Mine,Ore and concentrate,2017,<null>,Chingola,-12.407089,27.880269000000002,-999.0,Ore and concentrate,,,Open Pit,,,0.05952,0.06323999999999999,,,10
Zambia,Kansanshi Mine,Ore and concentrate,2017,"Sulfide ore. 8,800,000 oxide ore. 8,600,000 mixed ore.","North of Solwezi, Northwestern Province",-12.093786,26.429833000000002,23593870.97,Ore and concentrate,23593870.97,146.28200001399998,,,,0.07285,0.01333,1718.8135001645,314.50630003009996,11
Zambia,Kansanshi Smelter,Metal,2017,Copper cathode.,Northwestern Province,-12.088361,26.408977,340000.0,Metal,170000.0,170.0,,Smelter,,9.266,1.518,1575.22,258.06,12
Zambia,Konkola Mine,Ore and concentrate,2017,<null>,Chililabombwe,-12.378789,27.826968,2400000.0,Ore and concentrate,2400000.0,14.88,,,,0.07285,0.01333,174.84,31.992,13
