# Downloaded from spglobal.com on 18/01/23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
,,,,,,,,,,,Copper,Copper,Nickel,Nickel,Cobalt,Cobalt,Gold,Gold,Copper,Copper,Nickel,Nickel,Cobalt,Cobalt,Gold,Gold
Property Name,Property ID,Primary Commodity,Country / Region Name,Latitude (degrees),Longitude (degrees),Commodity 1,Commodity 2,Commodity 3,Ore Processed Mass (tonnes),"Ore Processed Mass
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - oz
(oz)","Commodity Production - oz
(oz)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - g/tonne
(g/tonne)","MillHead Grade - g/tonne
(g/tonne)"
Trident - Sentinel,36127,Copper,Zambia,-12.232380,25.147860,Copper,Cobalt,Nickel,"56,329,000","56,589,000","232,688","251,216",NA,NA,NA,NA,NA,NA,0.470,0.490,NA,NA,NA,NA,NA,NA
Trident - Enterprise,76924,Nickel,Zambia,-12.192400,25.213570,Nickel,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nkana SX-EW,76074,Copper,Zambia,-12.851640,28.207130,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nkana Slag,29191,Cobalt,Zambia,-12.839440,28.210280,Cobalt,Copper,Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nkana,28270,Copper,Zambia,-12.831940,28.197780,Copper,Cobalt,,NA,NA,"55,068","17,900",NA,NA,NA,NA,NA,NA,1.600,1.850,NA,NA,NA,NA,NA,NA
Nchanga SX-EW,76095,Copper,Zambia,-12.534980,27.846840,Copper,Cobalt,,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nchanga,28264,Copper,Zambia,-12.513080,27.857520,Copper,Cobalt,Iron Ore,"2,820,706","2,820,706","65,544","65,544",NA,NA,"1,252","1,252",NA,NA,0.782,0.782,NA,NA,0.120,0.120,NA,NA
Mwinilunga,68283,Copper,Zambia,-11.860000,24.410000,Copper,Cobalt,Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
