Region,Total HH,Rural,Urban,Share women,size_HH_rural,size_HH_urban,,Total HH original,Rural original,Urban original
Copperbelt,534433,85356,449077,0.507130598,5.133466438,4.664259038,,"534,433","85,356","449,077"
Muchinga,176683,151730,24953,0.510328906,4.730246908,4.297894446,,"176,682","151,730","24,953"
North-Western,207734,116233,91501,0.519170236,5.531941777,5.026313066,,"207,734","116,233","91,501"
Western,260070,205604,54466,0.508615195,4.919935406,4.470245098,,"260,070","205,604","54,466"
Luapula,272989,228300,44689,0.507404171,5.190473086,4.716055183,,"272,989","228,300","44,689"
Northern,303551,230684,72867,0.504500589,5.042448698,4.581560471,,"303,551","230,684","72,867"
Central,391440,292947,98493,0.511382492,5.224488249,4.746961303,,"391,440","292,947","98,493"
Southern,436704,316294,120410,0.507130555,5.128146912,4.659425725,,"436,705","316,294","120,410"
Eastern,451891,369725,82166,0.509358163,5.15233001,4.681398448,,"451,891","369,725","82,166"
Lusaka,631793,108025,523768,0.516539154,4.657370727,4.231679269,,"631,794","108,025","523,768"
Total,3667288,2104898,1562390,0.510317214,5.028829383,4.569185984,,"3,667,289","2,104,898","1,562,391"
