Sample strata for sampling errors,Household sample weight (6 decimals),Stratification used in sample design,Province,Number of household members,Type of place of residence,Electricity,Radio,Mobile telephone,Television,Refrigerator,Computer,Washing machine,Air conditioner,Generator,Microwave,Wealth index combined,Wealth index factor score combined (5 decimals),Wealth index for urban/rural,Wealth index factor score for urban/rural (5 decimals),Energy Use,Energy Use Elasticity
6,1912998,6,3,7,2,0,1,1,0,0,0,0,0,0,0,1,-84178,2,-53120,0.0,0.0
6,1912998,6,3,3,2,0,0,1,0,0,0,0,0,0,0,3,-33079,4,24358,0.0,0.0
6,1912998,6,3,4,2,0,0,1,0,0,0,0,0,0,0,1,-102964,1,-81604,0.0,0.0
6,1912998,6,3,4,2,0,0,0,0,0,0,0,0,0,0,2,-79319,2,-45753,0.0,0.0
6,1912998,6,3,5,2,0,0,0,0,0,0,0,0,0,0,1,-98990,1,-75579,0.0,0.0
6,1912998,6,3,4,2,0,0,0,0,0,0,0,0,0,0,1,-83273,2,-51747,0.0,0.0
6,1912998,6,3,11,2,0,0,0,0,0,0,0,0,0,0,2,-62816,3,-20730,0.0,0.0
6,1912998,6,3,5,2,0,0,0,0,0,0,0,0,0,0,1,-106022,1,-86240,0.0,0.0
6,1912998,6,3,3,2,0,0,1,0,0,0,0,0,0,0,2,-75705,3,-40273,0.0,0.0
6,1912998,6,3,3,2,0,1,0,0,0,0,0,0,0,0,1,-84230,2,-53199,0.0,0.0
6,1912998,6,3,7,2,0,0,1,0,0,0,0,0,0,0,1,-99558,1,-76441,0.0,0.0
6,1912998,6,3,8,2,0,0,0,0,0,0,0,0,0,0,1,-92634,1,-65942,0.0,0.0
6,1912998,6,3,6,2,0,1,0,0,0,0,0,0,0,0,2,-77563,2,-43090,0.0,0.0
6,1912998,6,3,7,2,0,0,0,0,0,0,0,0,0,0,2,-72545,3,-35482,0.0,0.0
6,1912998,6,3,4,2,0,0,1,0,0,0,0,0,0,0,1,-96531,1,-71850,0.0,0.0
6,1912998,6,3,4,2,0,1,1,0,0,0,0,0,0,0,1,-93189,1,-66784,0.0,0.0
6,1912998,6,3,5,2,0,1,0,0,0,0,0,0,0,0,2,-71198,3,-33440,0.0,0.0
6,1912998,6,3,4,2,0,0,1,0,0,0,0,0,0,0,2,-62210,3,-19811,0.0,0.0
6,1912998,6,3,6,2,0,1,1,0,0,0,0,0,0,0,3,-43466,4,8609,0.0,0.0
6,1912998,6,3,5,2,0,0,0,0,0,0,0,0,0,0,1,-98143,1,-74295,0.0,0.0
6,1912998,6,3,7,2,0,0,0,0,0,0,0,0,0,0,1,-82111,2,-49986,0.0,0.0
6,1912998,6,3,6,2,0,1,1,0,0,0,0,0,0,0,2,-73365,3,-36725,0.0,0.0
6,1912998,6,3,4,2,0,0,0,0,0,0,0,0,0,0,2,-68985,3,-30084,0.0,0.0
6,1912998,6,3,6,2,0,0,0,0,0,0,0,0,0,0,1,-106269,1,-86615,0.0,0.0
4,567036,4,2,4,2,0,1,1,0,0,0,0,0,0,0,2,-60114,3,-16633,0.0,0.0
4,567036,4,2,5,2,0,1,1,1,0,0,0,0,0,0,3,-34924,4,21560,0.0,0.0
4,567036,4,2,6,2,0,1,1,0,0,0,0,0,0,0,2,-79074,2,-45381,0.0,0.0
4,567036,4,2,5,2,0,0,1,0,0,0,0,0,0,0,1,-100201,1,-77415,0.0,0.0
4,567036,4,2,4,2,0,0,0,0,0,0,0,0,0,0,2,-71301,3,-33595,0.0,0.0
4,567036,4,2,4,2,0,0,1,0,0,0,0,0,0,0,1,-90021,2,-61980,0.0,0.0
4,567036,4,2,11,2,0,0,1,0,0,0,0,0,0,0,3,-15425,5,51126,0.0,0.0
4,567036,4,2,6,2,0,0,1,0,0,0,0,0,0,0,2,-69890,3,-31457,0.0,0.0
4,567036,4,2,4,2,0,0,1,0,0,0,0,0,0,0,2,-63764,3,-22168,0.0,0.0
4,567036,4,2,3,2,0,0,1,0,0,0,0,0,0,0,2,-63413,3,-21635,0.0,0.0
4,567036,4,2,6,2,0,0,1,0,0,0,0,0,0,0,2,-59636,3,-15909,0.0,0.0
4,567036,4,2,5,2,0,1,0,0,0,0,0,0,0,0,2,-52157,4,-4569,0.0,0.0
4,567036,4,2,1,2,0,0,0,0,0,0,0,0,0,0,1,-93761,1,-67650,0.0,0.0
4,567036,4,2,4,2,0,0,1,0,0,0,0,0,0,0,1,-85000,2,-54366,0.0,0.0
4,567036,4,2,3,2,0,1,1,0,0,0,0,0,0,0,2,-51189,4,-3101,0.0,0.0
4,567036,4,2,8,2,0,0,1,0,0,0,0,0,0,0,2,-79948,2,-46707,0.0,0.0
4,567036,4,2,5,2,0,0,1,0,0,0,0,0,0,0,3,-47318,4,2769,0.0,0.0
4,567036,4,2,4,2,0,1,1,0,0,0,0,0,0,0,3,-46954,4,3320,0.0,0.0
4,567036,4,2,6,2,0,1,1,1,0,0,0,0,0,0,3,-22860,4,39853,0.0,0.0
4,567036,4,2,7,2,0,1,1,1,0,0,0,0,1,0,4,74284,5,187146,0.0,0.0
4,567036,4,2,6,2,0,0,1,0,0,0,0,0,0,0,3,-43239,4,8952,0.0,0.0
4,567036,4,2,9,2,0,0,1,0,0,0,0,0,0,0,1,-95159,1,-69770,0.0,0.0
4,567036,4,2,4,2,0,1,1,1,0,0,0,0,0,0,3,-9817,5,59629,0.0,0.0
15,395532,15,7,4,1,0,0,1,0,0,0,0,0,0,0,4,27870,1,-63326,0.0,0.0
15,395532,15,7,3,1,0,0,1,0,0,0,0,0,0,0,2,-64664,1,-166583,0.0,0.0
15,395532,15,7,5,1,0,1,1,0,0,0,0,0,0,0,3,14343,1,-78421,0.0,0.0
15,395532,15,7,3,1,0,0,0,0,0,0,0,0,0,0,2,-70985,1,-173635,0.0,0.0
15,395532,15,7,5,1,0,0,1,0,0,0,0,0,0,0,2,-61931,1,-163532,0.0,0.0
15,395532,15,7,3,1,0,0,0,0,0,0,0,0,0,0,2,-67857,1,-170145,0.0,0.0
15,395532,15,7,5,1,0,0,1,0,0,0,0,0,0,0,2,-67355,1,-169585,0.0,0.0
15,395532,15,7,4,1,0,1,0,0,0,0,0,0,0,0,2,-55657,1,-156532,0.0,0.0
15,395532,15,7,2,1,0,0,1,0,0,0,0,0,0,0,3,-29457,1,-127295,0.0,0.0
15,395532,15,7,5,1,0,0,0,0,0,0,0,0,0,0,1,-83164,1,-187226,0.0,0.0
15,395532,15,7,9,1,0,1,0,1,0,0,0,0,0,0,3,-49649,1,-149828,0.0,0.0
15,395532,15,7,6,1,0,1,1,0,0,0,0,0,0,0,3,7465,1,-86096,0.0,0.0
15,395532,15,7,6,1,0,1,1,1,0,0,0,0,0,0,4,69400,2,-16984,0.0,0.0
15,395532,15,7,6,1,0,1,1,0,0,0,0,0,0,0,3,-48720,1,-148791,0.0,0.0
15,395532,15,7,4,1,0,0,1,0,0,0,0,0,0,0,4,17894,1,-74458,0.0,0.0
15,395532,15,7,1,1,0,0,0,0,0,0,0,0,0,0,2,-78555,1,-182083,0.0,0.0
15,395532,15,7,10,1,0,0,1,0,0,0,0,0,0,0,3,-44570,1,-144160,0.0,0.0
15,395532,15,7,4,1,0,0,1,0,0,0,0,0,0,0,2,-61151,1,-162662,0.0,0.0
15,395532,15,7,6,1,0,1,1,1,0,0,0,0,0,0,4,36528,2,-53665,0.0,0.0
15,395532,15,7,4,1,1,1,1,1,1,0,0,0,0,0,5,126901,4,47179,1874.0,2579.5227721416563
15,395532,15,7,7,1,0,0,1,0,0,0,0,0,0,0,3,9921,1,-83355,0.0,0.0
15,395532,15,7,7,1,0,0,0,0,0,0,0,0,0,0,2,-64540,1,-166444,0.0,0.0
15,395532,15,7,1,1,0,1,1,0,0,0,0,0,0,0,4,32129,2,-58573,0.0,0.0
15,395532,15,7,6,1,0,0,0,0,0,0,0,0,0,0,2,-70899,1,-173540,0.0,0.0
15,395532,15,7,6,1,0,1,0,0,0,0,0,0,0,0,4,16676,1,-75817,0.0,0.0
1,692574,1,1,6,1,1,1,1,1,1,0,0,0,0,0,5,185964,5,113087,1874.0,3565.1221885411614
1,692574,1,1,2,1,1,1,1,1,1,0,0,0,0,1,5,221888,5,153173,1974.0,4386.804225790488
1,692574,1,1,5,1,1,0,1,1,1,1,0,0,0,0,5,209761,5,139641,1858.0,3928.386265443925
1,692574,1,1,8,1,1,0,1,1,1,0,0,0,0,0,5,189581,5,117123,1858.0,3594.5233030957147
1,692574,1,1,2,1,1,1,1,1,1,1,0,0,0,0,5,172806,5,98404,1874.0,3345.550114877965
1,692574,1,1,7,1,1,1,1,1,1,1,0,0,0,0,5,234822,5,167606,1874.0,4380.40856625987
1,692574,1,1,5,1,1,1,1,1,1,0,0,0,0,1,5,209996,5,139904,1974.0,4177.788934113666
1,692574,1,1,5,1,1,0,1,1,1,0,0,0,0,1,5,217261,5,148010,1958.0,4270.578396030127
1,692574,1,1,7,1,1,1,1,1,1,1,0,0,0,1,5,238131,5,171299,1974.0,4672.327714895476
1,692574,1,1,6,1,1,1,1,1,1,0,0,0,0,0,5,164664,5,89319,1874.0,3209.6914831793924
1,692574,1,1,3,1,1,1,1,1,1,0,0,0,0,0,5,183427,5,110256,1874.0,3522.78693412854
1,692574,1,1,5,1,1,1,1,1,1,0,0,0,0,0,5,162561,4,86972,1874.0,3174.594046900191
1,692574,1,1,6,1,1,1,1,1,1,1,0,0,0,1,5,248869,5,183281,1974.0,4861.069988229691
1,692574,1,1,2,1,1,1,1,1,1,0,0,0,0,1,5,221888,5,153173,1974.0,4386.804225790488
1,692574,1,1,3,1,1,1,1,1,1,0,0,0,0,0,5,175582,5,101502,1874.0,3391.878132599724
1,692574,1,1,4,1,1,1,1,1,1,0,0,0,0,1,5,225659,5,157381,1974.0,4453.089277216825
1,692574,1,1,4,1,1,0,1,1,1,0,0,0,0,0,5,165944,5,90747,1858.0,3203.4597319572317
1,692574,1,1,2,1,1,1,1,1,1,0,0,0,0,0,5,137669,4,59196,1874.0,2759.227029392261
1,692574,1,1,7,1,1,0,1,1,1,0,0,0,0,0,5,160736,4,84935,1858.0,3117.288156454621
1,692574,1,1,4,1,1,0,1,1,1,0,0,0,0,1,5,222814,5,154207,1958.0,4367.403261378405
1,692574,1,1,3,1,1,1,1,1,1,1,0,0,0,0,5,196898,5,125288,1874.0,3747.5780130160406
1,692574,1,1,3,1,1,1,1,1,0,0,1,0,0,0,5,211698,5,141802,200.0,478.68142678519627
1,692574,1,1,4,1,1,0,1,1,1,0,0,0,0,1,5,227438,5,159366,1958.0,4448.009922719661
1,692574,1,1,4,1,1,1,1,1,1,0,0,0,0,0,5,191795,5,119593,1874.0,3662.4140165907934
1,692574,1,1,8,1,1,1,1,1,1,1,0,0,0,0,5,242427,5,176092,1874.0,4507.309650309851
2,601290,2,1,8,2,0,1,0,0,0,0,0,0,0,0,1,-99623,1,-76539,0.0,0.0
2,601290,2,1,7,2,0,0,0,0,0,0,0,0,0,0,1,-104994,1,-84683,0.0,0.0
2,601290,2,1,7,2,0,0,0,0,0,0,0,0,0,0,1,-101060,1,-78718,0.0,0.0
2,601290,2,1,3,2,0,0,0,0,0,0,0,0,0,0,1,-108191,1,-89530,0.0,0.0
2,601290,2,1,9,2,0,1,0,0,0,0,0,0,0,0,1,-93972,1,-67971,0.0,0.0
2,601290,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1,-103889,1,-83006,0.0,0.0
2,601290,2,1,9,2,0,0,0,0,0,0,0,0,0,0,1,-106538,1,-87024,0.0,0.0
2,601290,2,1,10,2,0,1,0,0,0,0,0,0,0,0,1,-101863,1,-79934,0.0,0.0
2,601290,2,1,8,2,0,1,0,0,0,0,0,0,0,0,1,-81819,2,-49543,0.0,0.0
2,601290,2,1,9,2,0,0,0,0,0,0,0,0,0,0,1,-111675,1,-94813,0.0,0.0
2,601290,2,1,8,2,0,1,0,0,0,0,0,0,0,0,2,-71884,3,-34480,0.0,0.0
2,601290,2,1,10,2,0,1,0,0,0,0,0,0,0,0,1,-90756,2,-63095,0.0,0.0
2,601290,2,1,8,2,0,0,0,0,0,0,0,0,0,0,1,-95122,1,-69714,0.0,0.0
2,601290,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1,-98281,1,-74504,0.0,0.0
2,601290,2,1,5,2,0,0,0,0,0,0,0,0,0,0,1,-110069,1,-92377,0.0,0.0
2,601290,2,1,10,2,0,1,0,0,0,0,0,0,0,0,2,-73201,3,-36477,0.0,0.0
2,601290,2,1,7,2,0,1,0,0,0,0,0,0,0,0,1,-100174,1,-77374,0.0,0.0
2,601290,2,1,6,2,0,0,0,0,0,0,0,0,0,0,1,-102913,1,-81527,0.0,0.0
2,601290,2,1,8,2,0,1,0,0,0,0,0,0,0,0,1,-98523,1,-74871,0.0,0.0
2,601290,2,1,2,2,0,1,0,0,0,0,0,0,0,0,2,-64336,3,-23035,0.0,0.0
2,601290,2,1,6,2,0,0,0,0,0,0,0,0,0,0,1,-98954,1,-75525,0.0,0.0
2,601290,2,1,7,2,0,0,0,0,0,0,0,0,0,0,1,-101328,1,-79123,0.0,0.0
2,601290,2,1,6,2,0,1,0,0,0,0,0,0,0,0,1,-89370,2,-60993,0.0,0.0
2,601290,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1,-104784,1,-84365,0.0,0.0
11,581233,11,6,6,1,1,1,1,1,0,0,0,0,0,0,4,82310,3,-2578,200.0,194.93349375712447
11,581233,11,6,10,1,1,1,1,1,1,0,0,0,0,0,5,120601,4,40150,1874.0,2474.409913340416
11,581233,11,6,7,1,1,1,1,1,0,0,0,0,0,0,4,79167,2,-6085,200.0,188.04123720407387
11,581233,11,6,5,1,1,1,1,1,0,0,0,0,0,0,4,82217,3,-2682,200.0,194.72910405609304
11,581233,11,6,7,1,0,0,1,0,0,0,0,0,0,0,4,27546,1,-63687,0.0,0.0
11,581233,11,6,3,1,0,0,0,0,0,0,0,0,0,0,3,-3552,1,-98389,0.0,0.0
11,581233,11,6,3,1,0,0,0,0,0,0,0,0,0,0,3,-34237,1,-132630,0.0,0.0
11,581233,11,6,4,1,0,0,0,0,0,0,0,0,0,0,3,11111,1,-82027,0.0,0.0
